,Team_H,xg_pg_H,xga_pg_H,btts_perc_H,fts_perc_H,cs_perc_H,over_perc_H,under_perc_H,corners_for_pg_H,corners_against_pg_H,cards_against_per_game_H,Team_A,xg_pg_A,xga_pg_A,btts_perc_A,fts_perc_A,cs_perc_A,over_perc_A,under_perc_A,corners_for_pg_A,corners_against_pg_A,cards_against_per_game_A,home_goals,away_goals,result
27,OFI FC,1.32,1.41,0.43,0.39,0.22,0.43,0.57,4.17,4.35,5.61,Pae Aps Atromitos Athens,1.03,1.56,0.57,0.39,0.17,0.5,0.5,3.5,5.13,5.79,1,1,3
28,Panserraikos FC,1.03,1.53,0.48,0.39,0.17,0.42,0.58,3.04,4.67,6.38,Pas Lamia 1964,1.18,1.64,0.61,0.22,0.17,0.67,0.33,3.54,5.42,5.46,2,0,1
29,Olympiakos CFP,1.76,0.88,0.43,0.17,0.43,0.65,0.35,5.26,2.57,4.87,Kifisias FC,0.9,1.51,0.57,0.43,0.09,0.65,0.35,4.7,5.39,6.22,4,0,1
30,Aris Thessaloniki FC,1.39,1.22,0.43,0.17,0.48,0.43,0.57,4.04,4.26,5.65,Panaitolikos GFS Agrinio,1.31,1.49,0.48,0.39,0.22,0.57,0.43,3.78,5.04,5.04,3,0,1
31,Volos New Football Club,0.89,1.49,0.61,0.35,0.09,0.61,0.39,3.3,5.65,6.26,Asteras Tripolis FC,1.19,1.55,0.52,0.26,0.26,0.65,0.35,4.13,4.26,4.91,1,2,2
32,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,PAOK Thessaloniki FC,1.73,1.16,0.48,0.13,0.43,0.74,0.26,5.13,3.52,4.61,1,3,2
33,Panathinaikos FC,1.77,0.99,0.39,0.04,0.57,0.74,0.26,5.52,2.65,5.0,AEK Athens FC,2.04,0.98,0.52,0.04,0.42,0.67,0.33,6.92,3.42,5.5,1,2,2
34,Panaitolikos GFS Agrinio,1.31,1.49,0.48,0.39,0.22,0.57,0.43,3.78,5.04,5.04,OFI FC,1.32,1.41,0.43,0.39,0.22,0.43,0.57,4.17,4.35,5.61,1,1,3
35,Kifisias FC,0.9,1.51,0.57,0.43,0.09,0.65,0.35,4.7,5.39,6.22,Pas Lamia 1964,1.18,1.64,0.61,0.22,0.17,0.67,0.33,3.54,5.42,5.46,1,1,3
36,Olympiakos CFP,1.76,0.88,0.43,0.17,0.43,0.65,0.35,5.26,2.57,4.87,Aris Thessaloniki FC,1.39,1.22,0.43,0.17,0.48,0.43,0.57,4.04,4.26,5.65,4,1,1
37,PAOK Thessaloniki FC,1.73,1.16,0.48,0.13,0.43,0.74,0.26,5.13,3.52,4.61,Volos New Football Club,0.89,1.49,0.61,0.35,0.09,0.61,0.39,3.3,5.65,6.26,3,0,1
38,Panserraikos FC,1.03,1.53,0.48,0.39,0.17,0.42,0.58,3.04,4.67,6.38,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,3,2,1
39,Aris Thessaloniki FC,1.39,1.22,0.43,0.17,0.48,0.43,0.57,4.04,4.26,5.65,Panathinaikos FC,1.77,0.99,0.39,0.04,0.57,0.74,0.26,5.52,2.65,5.0,1,4,2
40,AEK Athens FC,2.04,0.98,0.52,0.04,0.42,0.67,0.33,6.92,3.42,5.5,Pae Aps Atromitos Athens,1.03,1.56,0.57,0.39,0.17,0.5,0.5,3.5,5.13,5.79,2,1,1
41,Pas Lamia 1964,1.18,1.64,0.61,0.22,0.17,0.67,0.33,3.54,5.42,5.46,Panaitolikos GFS Agrinio,1.31,1.49,0.48,0.39,0.22,0.57,0.43,3.78,5.04,5.04,1,0,1
42,Aris Thessaloniki FC,1.39,1.22,0.43,0.17,0.48,0.43,0.57,4.04,4.26,5.65,Kifisias FC,0.9,1.51,0.57,0.43,0.09,0.65,0.35,4.7,5.39,6.22,1,1,3
43,Panathinaikos FC,1.77,0.99,0.39,0.04,0.57,0.74,0.26,5.52,2.65,5.0,PAOK Thessaloniki FC,1.73,1.16,0.48,0.13,0.43,0.74,0.26,5.13,3.52,4.61,2,2,3
44,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,Olympiakos CFP,1.76,0.88,0.43,0.17,0.43,0.65,0.35,5.26,2.57,4.87,0,3,2
45,OFI FC,1.32,1.41,0.43,0.39,0.22,0.43,0.57,4.17,4.35,5.61,AEK Athens FC,2.04,0.98,0.52,0.04,0.42,0.67,0.33,6.92,3.42,5.5,2,0,1
46,Volos New Football Club,0.89,1.49,0.61,0.35,0.09,0.61,0.39,3.3,5.65,6.26,Panserraikos FC,1.03,1.53,0.48,0.39,0.17,0.42,0.58,3.04,4.67,6.38,1,0,1
47,Pas Lamia 1964,1.18,1.64,0.61,0.22,0.17,0.67,0.33,3.54,5.42,5.46,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,2,1,1
48,Panaitolikos GFS Agrinio,1.31,1.49,0.48,0.39,0.22,0.57,0.43,3.78,5.04,5.04,Volos New Football Club,0.89,1.49,0.61,0.35,0.09,0.61,0.39,3.3,5.65,6.26,2,0,1
49,Aris Thessaloniki FC,1.39,1.22,0.43,0.17,0.48,0.43,0.57,4.04,4.26,5.65,Panserraikos FC,1.03,1.53,0.48,0.39,0.17,0.42,0.58,3.04,4.67,6.38,1,0,1
50,Asteras Tripolis FC,1.19,1.55,0.52,0.26,0.26,0.65,0.35,4.13,4.26,4.91,AEK Athens FC,2.04,0.98,0.52,0.04,0.42,0.67,0.33,6.92,3.42,5.5,0,3,2
51,Kifisias FC,0.9,1.51,0.57,0.43,0.09,0.65,0.35,4.7,5.39,6.22,OFI FC,1.32,1.41,0.43,0.39,0.22,0.43,0.57,4.17,4.35,5.61,0,0,3
52,PAOK Thessaloniki FC,1.73,1.16,0.48,0.13,0.43,0.74,0.26,5.13,3.52,4.61,Pae Aps Atromitos Athens,1.03,1.56,0.57,0.39,0.17,0.5,0.5,3.5,5.13,5.79,2,0,1
53,Olympiakos CFP,1.76,0.88,0.43,0.17,0.43,0.65,0.35,5.26,2.57,4.87,Panathinaikos FC,1.77,0.99,0.39,0.04,0.57,0.74,0.26,5.52,2.65,5.0,0,3,2
54,Volos New Football Club,0.89,1.49,0.61,0.35,0.09,0.61,0.39,3.3,5.65,6.26,Kifisias FC,0.9,1.51,0.57,0.43,0.09,0.65,0.35,4.7,5.39,6.22,2,1,1
55,Pae Aps Atromitos Athens,1.03,1.56,0.57,0.39,0.17,0.5,0.5,3.5,5.13,5.79,Panaitolikos GFS Agrinio,1.31,1.49,0.48,0.39,0.22,0.57,0.43,3.78,5.04,5.04,3,2,1
56,Asteras Tripolis FC,1.19,1.55,0.52,0.26,0.26,0.65,0.35,4.13,4.26,4.91,Pas Lamia 1964,1.18,1.64,0.61,0.22,0.17,0.67,0.33,3.54,5.42,5.46,0,1,2
57,Panathinaikos FC,1.77,0.99,0.39,0.04,0.57,0.74,0.26,5.52,2.65,5.0,Panserraikos FC,1.03,1.53,0.48,0.39,0.17,0.42,0.58,3.04,4.67,6.38,5,0,1
58,Aris Thessaloniki FC,1.39,1.22,0.43,0.17,0.48,0.43,0.57,4.04,4.26,5.65,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,2,0,1
59,AEK Athens FC,2.04,0.98,0.52,0.04,0.42,0.67,0.33,6.92,3.42,5.5,PAOK Thessaloniki FC,1.73,1.16,0.48,0.13,0.43,0.74,0.26,5.13,3.52,4.61,2,0,1
60,OFI FC,1.32,1.41,0.43,0.39,0.22,0.43,0.57,4.17,4.35,5.61,Olympiakos CFP,1.76,0.88,0.43,0.17,0.43,0.65,0.35,5.26,2.57,4.87,0,2,2
61,Pas Lamia 1964,1.18,1.64,0.61,0.22,0.17,0.67,0.33,3.54,5.42,5.46,Panathinaikos FC,1.77,0.99,0.39,0.04,0.57,0.74,0.26,5.52,2.65,5.0,1,2,2
62,Kifisias FC,0.9,1.51,0.57,0.43,0.09,0.65,0.35,4.7,5.39,6.22,AEK Athens FC,2.04,0.98,0.52,0.04,0.42,0.67,0.33,6.92,3.42,5.5,1,1,3
63,Panaitolikos GFS Agrinio,1.31,1.49,0.48,0.39,0.22,0.57,0.43,3.78,5.04,5.04,Asteras Tripolis FC,1.19,1.55,0.52,0.26,0.26,0.65,0.35,4.13,4.26,4.91,0,1,2
64,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,Volos New Football Club,0.89,1.49,0.61,0.35,0.09,0.61,0.39,3.3,5.65,6.26,1,1,3
65,Olympiakos CFP,1.76,0.88,0.43,0.17,0.43,0.65,0.35,5.26,2.57,4.87,PAOK Thessaloniki FC,1.73,1.16,0.48,0.13,0.43,0.74,0.26,5.13,3.52,4.61,2,4,2
66,Aris Thessaloniki FC,1.39,1.22,0.43,0.17,0.48,0.43,0.57,4.04,4.26,5.65,Pae Aps Atromitos Athens,1.03,1.56,0.57,0.39,0.17,0.5,0.5,3.5,5.13,5.79,1,3,2
67,Panserraikos FC,1.03,1.53,0.48,0.39,0.17,0.42,0.58,3.04,4.67,6.38,OFI FC,1.32,1.41,0.43,0.39,0.22,0.43,0.57,4.17,4.35,5.61,2,1,1
68,OFI FC,1.32,1.41,0.43,0.39,0.22,0.43,0.57,4.17,4.35,5.61,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,1,1,3
69,Pae Aps Atromitos Athens,1.03,1.56,0.57,0.39,0.17,0.5,0.5,3.5,5.13,5.79,Panserraikos FC,1.03,1.53,0.48,0.39,0.17,0.42,0.58,3.04,4.67,6.38,1,1,3
70,Volos New Football Club,0.89,1.49,0.61,0.35,0.09,0.61,0.39,3.3,5.65,6.26,Aris Thessaloniki FC,1.39,1.22,0.43,0.17,0.48,0.43,0.57,4.04,4.26,5.65,0,2,2
71,PAOK Thessaloniki FC,1.73,1.16,0.48,0.13,0.43,0.74,0.26,5.13,3.52,4.61,Panaitolikos GFS Agrinio,1.31,1.49,0.48,0.39,0.22,0.57,0.43,3.78,5.04,5.04,2,1,1
72,AEK Athens FC,2.04,0.98,0.52,0.04,0.42,0.67,0.33,6.92,3.42,5.5,Pas Lamia 1964,1.18,1.64,0.61,0.22,0.17,0.67,0.33,3.54,5.42,5.46,3,0,1
73,Asteras Tripolis FC,1.19,1.55,0.52,0.26,0.26,0.65,0.35,4.13,4.26,4.91,Olympiakos CFP,1.76,0.88,0.43,0.17,0.43,0.65,0.35,5.26,2.57,4.87,0,2,2
74,Kifisias FC,0.9,1.51,0.57,0.43,0.09,0.65,0.35,4.7,5.39,6.22,Panathinaikos FC,1.77,0.99,0.39,0.04,0.57,0.74,0.26,5.52,2.65,5.0,0,1,2
75,OFI FC,1.32,1.41,0.43,0.39,0.22,0.43,0.57,4.17,4.35,5.61,Volos New Football Club,0.89,1.49,0.61,0.35,0.09,0.61,0.39,3.3,5.65,6.26,1,1,3
76,Olympiakos CFP,1.76,0.88,0.43,0.17,0.43,0.65,0.35,5.26,2.57,4.87,Panaitolikos GFS Agrinio,1.31,1.49,0.48,0.39,0.22,0.57,0.43,3.78,5.04,5.04,3,1,1
77,PAOK Thessaloniki FC,1.73,1.16,0.48,0.13,0.43,0.74,0.26,5.13,3.52,4.61,Panserraikos FC,1.03,1.53,0.48,0.39,0.17,0.42,0.58,3.04,4.67,6.38,5,0,1
78,Kifisias FC,0.9,1.51,0.57,0.43,0.09,0.65,0.35,4.7,5.39,6.22,Asteras Tripolis FC,1.19,1.55,0.52,0.26,0.26,0.65,0.35,4.13,4.26,4.91,1,3,2
79,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,PAS Giannina FC,1.04,1.56,0.52,0.43,0.17,0.5,0.48,4.43,5.09,5.61,0,1,2
